company_id,model_id,model_name,source_url,source_name,fetched_at,extraction_status,input_price_per_m_candidate,output_price_per_m_candidate,cached_input_price_per_m_candidate,currency_candidate,confidence,reason
deepseek,deepseek_v3,DeepSeek-V3,https://api-docs.deepseek.com/quick_start/pricing,DeepSeek API Pricing,2026-07-29T16:11:32+08:00,partial,1.0,,,USD,needs_review,found input=1.0 but no clear output price. May need manual extraction.
deepseek,deepseek_r1,DeepSeek-R1,https://api-docs.deepseek.com/quick_start/pricing,DeepSeek API Pricing,2026-07-29T16:11:32+08:00,partial,1.0,,,USD,needs_review,found input=1.0 but no clear output price. May need manual extraction.
bytedance,doubao_seed20,豆包 Seed 2.0,https://www.volcengine.com/docs/84458/1585097,火山方舟模型服务计费,2026-07-29T16:11:33+08:00,parsed,9.6,10.8,,CNY,candidate,"extracted input=9.6, output=10.8 from visible text. Model name found in page. MUST verify manually."
baidu,ernie4,ERNIE 4.0,https://cloud.baidu.com/product-s/qianfan.html,百度千帆模型定价,2026-07-29T16:11:33+08:00,failed,,,,,failed,fetch failed: HTTPError: HTTP Error 404: Not Found
tencent,hunyuan_turbo,混元 Turbo,https://cloud.tencent.com/product/hunyuan,腾讯混元定价,2026-07-29T16:11:34+08:00,ambiguous,,,,USD,needs_review,found price-like numbers but could not reliably assign to input/output.
zhipu,glm4,GLM-4,https://bigmodel.cn/pricing,智谱开放平台定价,2026-07-29T16:11:34+08:00,ambiguous,,,,USD,needs_review,found price-like numbers but could not reliably assign to input/output.
alibaba,qwen3_max,Qwen3-Max,https://help.aliyun.com/zh/model-studio/model-pricing,阿里云百炼模型定价,2026-07-29T16:11:34+08:00,partial,1.0,,,CNY,needs_review,found input=1.0 but no clear output price. May need manual extraction.
google,gemini25_pro,Gemini 2.5 Pro,https://ai.google.dev/pricing,Gemini Developer API Pricing,2026-07-29T16:11:35+08:00,partial,5.0,,,CNY,needs_review,found input=5.0 but no clear output price. May need manual extraction.
google,gemini25_flash,Gemini 2.5 Flash,https://ai.google.dev/pricing,Gemini Developer API Pricing,2026-07-29T16:11:35+08:00,partial,3.0,,,CNY,needs_review,found input=3.0 but no clear output price. May need manual extraction.
moonshot,kimi_k2,Kimi K2,https://platform.kimi.com/,Kimi开放平台,2026-07-29T16:11:35+08:00,partial,1.0,,,CNY,needs_review,found input=1.0 but no clear output price. May need manual extraction.
cohere,command_r_plus,Command R+,https://cohere.com/pricing,Cohere API Pricing,2026-07-29T16:11:37+08:00,ambiguous,,,,USD,needs_review,found price-like numbers but could not reliably assign to input/output.
mistral,mistral_large,Mistral Large 2,https://mistral.ai/technology/,Mistral API Platform,2026-07-29T16:11:39+08:00,partial,4.0,,,USD,needs_review,found input=4.0 but no clear output price. May need manual extraction.
amazon,amazon_nova_pro,Amazon Nova Pro,https://aws.amazon.com/bedrock/pricing/,AWS Bedrock Pricing,2026-07-29T16:11:39+08:00,partial,50.0,,,CNY,needs_review,found input=50.0 but no clear output price. May need manual extraction.
anthropic,claude_opus4,Claude Opus 4,https://www.anthropic.com/pricing,Anthropic API Pricing,2026-07-29T16:11:41+08:00,partial,365.0,,,USD,needs_review,found input=365.0 but no clear output price. May need manual extraction.
anthropic,claude_sonnet4,Claude Sonnet 4,https://www.anthropic.com/pricing,Anthropic API Pricing,2026-07-29T16:11:41+08:00,partial,365.0,,,USD,needs_review,found input=365.0 but no clear output price. May need manual extraction.
openai,gpt4o,GPT-4o,https://platform.openai.com/docs/pricing,OpenAI API Pricing,2026-07-29T16:11:51+08:00,partial,5.6,,,USD,needs_review,found input=5.6 but no clear output price. May need manual extraction.
openai,gpt4o_mini,GPT-4o Mini,https://platform.openai.com/docs/pricing,OpenAI API Pricing,2026-07-29T16:11:51+08:00,ambiguous,,,,USD,needs_review,found price-like numbers but could not reliably assign to input/output.
